,Event_Date,Event_Name,Event_ID,F1_Name,F2_Name,F1_ID,F2_ID
0,2014-08-23,UFC Fight Night: Henderson vs Dos Anjos,063649e21bc9d6d5,Aaron Phillips,Matt Hobar,34c2b3656f88f7ef,b57edace7b647f07
1,2008-11-15,UFC 91: Couture vs Lesnar,a2b06ca02bca14c0,Aaron Riley,Jorge Gurgel,f2c8ebbeafd45f2b,04d5718ed2661e8c
2,2009-08-08,UFC 101: Declaration,48d1f690b763934c,Aaron Riley,Shane Nelson,f2c8ebbeafd45f2b,2db7fa8db6bc9632
3,2010-05-29,UFC 114: Rampage vs Evans,bfc2fc38a0e20211,Aaron Riley,Joe Brammer,f2c8ebbeafd45f2b,013da757877044a2
4,2013-07-27,UFC on Fox: Johnson vs Moraga,5330fe7e4c3af81c,Aaron Riley,Justin Salas,f2c8ebbeafd45f2b,9b198c73e3d0d289
5,2009-05-15,Strikeforce Challengers 1,8ddf9c51c5fdea75,Aaron Rosa,Anthony Ruiz,11f8860028b68fcf,657c21cb133f1445
6,2011-11-12,UFC on Fox: Velasquez vs Dos Santos,1c061eb6e29eaa0a,Aaron Rosa,Matt Lucas,11f8860028b68fcf,668222c99c5c311d
7,2008-11-05,WEC 36: Faber vs. Brown,1c2f2571b18791b6,Aaron Simpson,David Avellan,d5f820c11a121050,956dcac65e7b34d6
8,2009-04-01,UFC Fight Night: Condit vs Kampmann,04d5718ed2661e8c,Aaron Simpson,Tim McKenzie,d5f820c11a121050,9ca265dfe8323db3
9,2009-08-29,UFC 102: Couture vs Nogueira,c6a33ff198aaaeeb,Aaron Simpson,Ed Herman,d5f820c11a121050,06f36cf4bd97ec77
10,2010-01-11,UFC Fight Night: Maynard vs Diaz,58bc81376286b3d3,Aaron Simpson,Tom Lawlor,d5f820c11a121050,4d44f37107f01b9b
11,2010-11-20,UFC 123: Rampage vs Machida,dd992d569aaebee6,Aaron Simpson,Mark Munoz,d5f820c11a121050,179f1948dc234f1f
12,2011-10-08,UFC 136: Edgar vs Maynard 3,7d5b12de1625984e,Aaron Simpson,Eric Schafer,d5f820c11a121050,f59f1d3a2ff13edd
