,count,unique,top,freq,first,last,mean,std,min,25%,50%,75%,max
F_Bout_URL,5123,5123,http://www.fightmetric.com/fight-details/144c4e65599288c3,1,,,,,,,,,
T_Bout_URL,5123,5123,https://www.tapology.com/fightcenter/bouts/23650-wec-51-mike-brown-vs-cole-province,1,,,,,,,,,
Event_Date,5123,479,2016-11-19 00:00:00,25,2008-01-19 00:00:00,2018-12-29 00:00:00,,,,,,,
FO,5092,3,Fighter_1,3373,,,,,,,,,
F1_URL,5123,1422,http://www.fightmetric.com/fighter-details/1d00756835ca67c9,28,,,,,,,,,
F1_T_ID,5123,1422,donald-cerrone-cowboy,28,,,,,,,,,
F1_BFO_URL,4644,1157,https://www.bestfightodds.com/fighters/Donald-Cerrone-220,28,,,,,,,,,
F2_URL,5123,1883,http://www.fightmetric.com/fighter-details/18968f97ad34f15c,18,,,,,,,,,
F2_T_ID,5123,1883,jeremy-stephens-lil-heathen,18,,,,,,,,,
F2_BFO_URL,4477,1438,https://www.bestfightodds.com/fighters/Jeremy-Stephens-210,18,,,,,,,,,
F1_DOB,5017,1211,1984-07-31 00:00:00,33,1961-12-13 00:00:00,1998-05-18 00:00:00,,,,,,,
F1_Reach,4791.0,,,,,,183.5808808182008,10.426523996413996,155.0,178.0,183.0,191.0,215.0
F1_Height,5099.0,,,,,,178.7850558933124,8.560660033416951,152.0,173.0,178.0,185.0,219.0
F2_DOB,4921,1527,1984-08-28 00:00:00,20,1963-06-22 00:00:00,1997-12-02 00:00:00,,,,,,,
F2_Reach,4505.0,,,,,,183.35826859045505,10.243524082750145,154.0,178.0,183.0,191.0,215.0
F2_Height,5067.0,,,,,,178.90171699230314,8.444227922533347,152.0,173.0,178.0,185.0,219.0
F1_Age,5017.0,,,,,,30.0198737989466,4.085145332301862,19.345205479452055,27.112328767123287,29.832876712328765,32.68219178082192,48.942465753424656
F2_Age,4921.0,,,,,,29.691353522644075,4.025450542292753,19.054794520547944,26.854794520547944,29.39178082191781,32.1945205479452,47.88767123287671
F1_Pro_start,5123,973,2006-02-11 00:00:00,43,1993-09-21 00:00:00,2017-06-23 00:00:00,,,,,,,
F2_Pro_start,5123,1182,2005-07-30 00:00:00,28,1992-01-01 00:00:00,2017-10-21 00:00:00,,,,,,,
F1_Exp,5123.0,,,,,,7.084920276272197,3.59113910234444,-0.3835616438356164,4.456164383561644,6.698630136986301,9.32054794520548,21.5972602739726
F2_Exp,5123.0,,,,,,6.481900320606238,3.3941164042889502,-0.0027397260273972603,4.045205479452054,5.964383561643835,8.457534246575342,21.86027397260274
F1_Prev_Bout_Date,4671,725,2010-09-25 00:00:00,21,2008-03-01 00:00:00,2019-03-30 00:00:00,,,,,,,
F2_Prev_Bout_Date,4602,905,2016-11-19 00:00:00,24,2008-02-16 00:00:00,2019-01-12 00:00:00,,,,,,,
F1_Days_Inact,4671.0,,,,,,-192.81160351102548,159.13444695584334,-3087.0,-224.0,-154.0,-112.0,0.0
F2_Days_Inact,4602.0,,,,,,-213.3754889178618,196.66129207972483,-3109.0,-238.0,-167.0,-119.0,0.0
F1_cum_Win,5120.0,,,,,,4.0630859375,4.2616747990236,0.0,1.0,3.0,6.0,30.0
F1_cum_Loss,5120.0,,,,,,3.2287109375,2.821137372733324,0.0,1.0,3.0,5.0,19.0
F1_cum_Bouts,5120.0,,,,,,7.4505859375,6.4930199534033095,0.0,2.0,6.0,11.0,54.0
F2_cum_Win,5122.0,,,,,,3.5972276454509955,3.920616316950488,0.0,1.0,2.0,5.0,36.0
F2_cum_Loss,5122.0,,,,,,2.9996095275283094,2.7266968750271037,0.0,1.0,2.0,4.0,21.0
F2_cum_Bouts,5122.0,,,,,,6.752245216712222,6.159289578490238,0.0,2.0,5.0,10.0,60.0
F1_Win_PCT,4664.0,,,,,,0.5019523458465184,0.2760266726716642,0.0,0.3333333333333333,0.5,0.6666666666666666,1.0
F2_Win_PCT,4595.0,,,,,,0.4910073835783268,0.27846303745522294,0.0,0.3333333333333333,0.5,0.6666666666666666,1.0
FM_F1_5yr_T_num_bouts,4883.0,,,,,,4.5830432111406925,3.808856730030428,0.0,1.0,4.0,7.0,20.0
FM_F1_5yr_T_SStr_A,4883.0,,,,,,363.70550890845794,387.82555631449213,0.0,67.0,238.0,542.5,2483.0
FM_F1_5yr_T_SStr_L,4883.0,,,,,,155.7171820602089,163.79436905951715,0.0,29.5,104.0,232.0,1205.0
FM_F1_5yr_T_SStr_PCT,4242.0,,,,,,0.44563122072247857,0.11426398648994192,0.0,0.3761163432654055,0.4393939393939394,0.5044510385756676,1.0
FM_F1_5yr_T_SStr_A_VS,4883.0,,,,,,336.0129019045669,352.435512240521,0.0,61.0,220.0,512.0,2021.0
FM_F1_5yr_T_SStr_L_VS,4883.0,,,,,,132.8326848249027,137.72156801197988,0.0,25.0,91.0,200.5,812.0
FM_F1_5yr_T_SStr_PCT_VS,4240.0,,,,,,0.41081999160772303,0.11349120471022774,0.0,0.34146341463414637,0.4069096887531348,0.4745762711864407,1.0
FM_F1_5yr_T_SStr_PCT_Def,4240.0,,,,,,0.589180008392277,0.11349120471022774,0.0,0.5254237288135593,0.5930903112468653,0.6585365853658536,1.0
FM_F1_5yr_T_Str_A,4883.0,,,,,,464.5560106491911,467.97589886170573,0.0,100.0,318.0,707.5,2713.0
FM_F1_5yr_T_Str_L,4883.0,,,,,,245.03358591030104,245.20373711254808,0.0,52.0,173.0,376.0,1437.0
FM_F1_5yr_T_Str_PCT,4243.0,,,,,,0.5417278559735033,0.12929037304469748,0.0,0.45920876878185246,0.5357142857142857,0.624921972534332,1.0
FM_F1_5yr_T_Str_A_VS,4883.0,,,,,,421.02928527544543,412.03026581204756,0.0,88.0,296.0,654.0,2374.0
FM_F1_5yr_T_Str_L_VS,4883.0,,,,,,208.28158918697522,198.48114163200808,0.0,44.0,153.0,325.5,1189.0
FM_F1_5yr_T_Str_PCT_VS,4241.0,,,,,,0.5122177004363095,0.1317438263519348,0.0,0.4270833333333333,0.5100182149362478,0.5964912280701754,1.0
FM_F1_5yr_T_Str_PCT_Def,4241.0,,,,,,0.48778229956369046,0.1317438263519348,0.0,0.4035087719298246,0.48998178506375223,0.5729166666666667,1.0
FM_F1_5yr_T_TD_A,4883.0,,,,,,14.193118984231006,18.243936823136888,0.0,1.0,7.0,20.0,119.0
FM_F1_5yr_T_TD_L,4883.0,,,,,,5.943886954740938,7.853646765583347,0.0,0.0,3.0,9.0,63.0
FM_F1_5yr_T_TD_PCT,3798.0,,,,,,0.4516976051783801,0.2554553598324525,0.0,0.2962962962962963,0.42857142857142855,0.5833333333333334,1.0
