F1_ID,Match_ID,Exact_ID,Close_ID,No_Match_DF1,No_Match_DF2,Name_Match,Dates_Match,F2_Match
danny-abbadi,Danny-Abbadi-1276,,"James Orso Fight Force: Ultimate Chaos 2009-06-27
",,,1.0,1,1.0
79163-israel-adesanya,Israel-Adesanya-7845,,"Rob Wilkinson UFC 221: Romero vs. Rockhold 2018-02-10
",,,1.0,1,1.0
nick-agallar,Nick-Agallar-102,,"Jorge Masvidal Bellator Fighting Championship 1 2009-04-03
",,,1.0,1,1.0
jessica-aguilar-jag,Jessica-Aguilar-1168,,"Lynn Alvarez Bellator Fighting Championship 24 2010-08-12
",,"Rosi Sexton Bellator Fighting Championship 12 2009-06-19
",1.0,1,0.96
kevin-aguilar,Kevin-Aguilar-2365,"Damon Jackson LFA 4: Aguilar vs. Jackson 2017-02-17
Alex Black Legacy FC 39 2015-02-27
","Damon Jackson LFA 4: Aguilar vs. Jackson 2017-02-17
Alex Black Legacy FC 39 2015-02-27
Matt Hunt Bellator Fighting Championship 36 2011-03-12
",,,1.0,1,1.0
mike-aina-iron,Mike-Aina-228,,"Nick Diaz EliteXC: Uprising 2007-09-15
",,,1.0,1,1.0
40111-omari-akhmedov,Omari-Akhmedov-4414,,"Thiago Perpetuo UFC Fight Night 32: Belfort vs. Henderson 2013-11-09
",,,1.0,1,0.99
razak-al-hassan-razor,Razak-Al-Hassan-5591,,"Virgil Zwicker Bellator 137: Halsey vs. Grove 2015-05-15
",,,1.0,1,1.0
mostapha-al-turk,Mostapha-Al-Turk-797,,"Gary Turner Cage Rage 25: Bring It On 2008-03-08
",,,1.0,1,0.99
brett-albee,Brett-Albee-2407,,"Virgil Zwicker Strikeforce: Diaz vs. Daley 2011-04-09
",,,1.0,1,1.0
36385-albini-muralha-junior-baby,Junior-Albini-7253,,"Timothy Johnson UFC on FOX 25: Weidman vs. Gastelum 2017-07-22
",,,0.96,1,0.93
55154-alexandra-albu-stitch,Alexandra-Albu-7261,,"Kailin Curran UFC 214: Cormier vs. Jones 2 2017-07-29
",,,0.9,1,1.0
76553-deiveson-alcantra-daico,Deiveson-Alcantra-Figueiredo-7063,,"Marco Beltran UFC 212: Aldo vs. Holloway 2017-06-03
",,,1.0,1,1.0
60294-irene-aldana-robles,Irene-Aldana-5093,"Peggy Morgan Invicta FC 8 2014-09-06
","Colleen Schneider Invicta FC 11: Cyborg vs. Tweet 2015-02-27
",,,1.0,1,1.0
jose-aldo-junior,Jose-Aldo-659,,"Alexandre Nogueira WEC 34: Faber vs Pulver 2008-06-01
",,,0.62,1,1.0
