F1_ID,Match_ID,Exact_ID,Close_ID,No_Match_DF1,No_Match_DF2,Name_Match,Dates_Match,F2_Match
93fe7332d16c6ad9,Tom-Aaron-1814,," Erik Steenberg Strikeforce St. Louis: Heavy Artillery 2010-05-15
"," Matt Ricehouse Strikeforce - Henderson vs. Babalu 2010-12-04
"," Adin Duenas RFA 42: Giagos vs. Estrazulas 2016-08-19
",1.0,1,0.93
2f5cbecbbe18bac4,Shamil-Abdurahimov-1874,," Timothy Johnson UFC Fight Night 63: Mendes vs. Lamas 2015-04-04
"," Walt Harris UFC Fight Night: Lineker vs. Dodson 2016-10-01
"," Jeff Monson Abu Dhabi Fighting Championship 2010-05-14
",0.97,1,0.85
5140122c3eecd307,Daichi-Abe-7450,," Hyun Gyu Lim UFC Fight Night 117: Saint Preux vs. Okami 2017-09-22
",," Li Jingliang UFC Fight Night 132: Cowboy vs. Edwards 2018-06-23
 Luke Jumeau UFC 221: Romero vs. Rockhold 2018-02-10
",1.0,1,1.0
c9f6385af6df66d7,Papy-Abedi-2698,," Besam Yousef UFC on Fuel TV 9: Mousasi vs. Latifi 2013-04-06
 James Head UFC on FUEL TV 2: Gustafsson vs. Silva 2012-04-14
",," Dylan Andrews Superior Challenge 15 2017-04-01
 Bruno Carvalho Superior Challenge 14 2016-10-08
 Dylan Andrews UFC Fight Night 27: Condit vs. Kampmann II 2013-08-28
 Thiago Alves UFC 138: Leben vs. Munoz 2011-11-05
",1.0,1,1.0
aa6e591c2a2cdecd,Ricardo-Abreu-4926,," Jake Collier UFC Fight Night 68: Henderson vs. Boetsch 2015-06-06
 Wagner Silva UFC: The Ultimate Fighter Brazil 3 Finale 2014-05-31
",,,1.0,1,1.0
1338e2c7480bdf9e,Israel-Adesanya-7845,," Marvin Vettori UFC on FOX 29: Poirier vs. Gaethje 2018-04-14
",," Anderson Silva UFC 234: Whittaker vs. Gastelum 2019-02-09
 Derek Brunson UFC 230: Cormier vs. Lewis 2018-11-03
 Brad Tavares UFC: The Ultimate Fighter 27 Finale: Tavares vs. Adesanya 2018-07-06
 Rob Wilkinson UFC 221: Romero vs. Rockhold 2018-02-10
",1.0,1,1.0
8f382b3baa954d2a,Jessica-Aguilar-1168,," Jodie Esquibel UFC Fight Night 133: Dos Santos vs. Ivanov 2018-07-14
 Cortney Casey UFC 211: Miocic vs. Dos Santos 2 2017-05-13
",," Weili Zhang UFC Fight Night 141: Blaydes vs. Ngannou 2 2018-11-24
 Jodie Esquibel UFC Fight Night 131: Rivera vs. Moraes 2018-06-01
 Claudia Gadelha UFC 190: Rousey vs. Correia 2015-08-01
 Kalindra Faria WSOF 15: Branch vs. Okami 2014-11-15
 Emi Fujino WSOF 10: Branch vs. Taylor 2014-06-21
 Alida Gray World Series of Fighting 8: Gaethje vs. Patishnock 2014-01-18
 Patricia Vidonic Bellator Fighting Championship 94: Awad vs. Rickels 2013-03-28
 Megumi Fujii Bellator Fighting Championship 69 2012-05-18
 Lisa Ward Bellator Fighting Championship 58 2011-11-19
 Carla Esparza Bellator Fighting Championship 46 2011-06-25
 Zoila Frausto Gurgel Bellator Fighting Championship 31 2010-09-30
 Lynn Alvarez Bellator Fighting Championship 24 2010-08-12
 Rosi Sexton Bellator Fighting Championship 12 2009-06-19
",1.0,1,1.0
9e3dbb9c68ed5d1a,Mike-Aina-228,," Billy Evangelista Sho MMA: Aina vs Evangelista 2009-05-15
",," Kaleo Kwan EliteXC: Return Of The King 2008-06-14
 Nick Diaz EliteXC: Uprising 2007-09-15
",1.0,1,1.0
16690d100f995f8f,Omari-Akhmedov-4414,," Sergio Moraes UFC Fight Night 80: VanZant vs. Namajunas 2015-12-10
 Mats Nilsson UFC 182: Jones vs. Cormier 2015-01-03
",," Marvin Vettori UFC 219: Cyborg vs. Holm 2017-12-30
 Abdul Razak Alhassan UFC Fight Night 109: Gustafsson vs. Teixeira 2017-05-28
 Kyle Noke UFC Fight Night 101: Whittaker vs. Brunson 2016-11-26
 Elizeu Zaleski UFC on FOX 19: Evans vs. Teixeira 2016-04-16
 Brian Ebersole UFC Fight Night 68: Henderson vs. Boetsch 2015-06-06
 Gunnar Nelson UFC Fight Night 37: Gustafsson vs. Manuwa 2014-03-08
 Thiago Perpetuo UFC Fight Night 32: Belfort vs. Henderson 2013-11-09
",1.0,1,1.0
b0550072e5f0afa7,Yoshihiro-Akiyama-311," Alan Belcher UFC 100 2009-07-11
"," Alberto Mina UFC Fight Night 79: Henderson vs. Masvidal 2015-11-28
 Amir Sadollah UFC Fight Night 52: Hunt vs. Nelson 2014-09-20
 Jake Shields UFC 144: Edgar vs. Henderson 2012-02-25
 Masanori Tonooka DREAM 6 2008-09-23
 Katsuyori Shibata DREAM 5 2008-07-21
",," Vitor Belfort UFC 133: Evans vs. Ortiz 2 2011-08-06
 Michael Bisping UFC 120: Bisping vs. Akiyama 2010-10-16
 Chris Leben UFC 116: Lesnar vs. Carwin 2010-07-03
 Kazuo Misaki M-1 Global: Yarennoka! 2007-12-30
 Denis Kang K-1 Heros Korea 2007-10-28
",1.0,1,1.0
7bd94b60d7521e4a,John-Albert-3067,," Yaotzin Meza UFC on FOX 8: Johnson vs. Moraga 2013-07-27
 Erik Perez UFC: The Ultimate Fighter 15 Finale 2012-06-01
",," Scott Jorgensen UFC on FOX 5: Henderson vs. Diaz 2012-12-08
 Ivan Menjivar UFC on FUEL TV 1: Ellenberger vs. Sanchez 2012-02-15
 Dustin Pague UFC: The Ultimate Fighter 14 Finale 2011-12-03
",1.0,1,1.0
c482c8605455a213,Junior-Albini-7253,," Andrei Arlovski UFC Fight Night 120: Poirier vs. Pettis 2017-11-11
",," Jairzinho Rozenstruik UFC on ESPN+ 2: Assuncao vs. Moraes 2 2019-02-02
 Aleksei Oliynyk UFC 224: Nunes vs. Pennington 2018-05-12
 Timothy Johnson UFC on FOX 25: Weidman vs. Gastelum 2017-07-22
",1.0,1,1.0
7c6e87729e824ef4,Ildemar-Alcantara-3820,," Albert Tumenov UFC Fight Night 36: Machida vs. Mousasi 2014-02-15
 Igor Araujo UFC Fight Night 29: Maia vs. Shields 2013-10-09
 Leandro Silva UFC on FUEL TV 10: Nogueira vs. Werdum 2 2013-06-08
",," Magomed Ismailov Fight Nights Global 85: Alikhanov vs. Kopylov 2018-03-30
 Kevin Casey UFC Fight Night 71: Mir vs. Duffee 2015-07-15
 Richardson Moreira UFC 183: Silva vs. Diaz 2015-01-31
 Kenny Robertson UFC 175: Weidman vs. Machida 2014-07-05
 Wagner Prado UFC on FX 7: Belfort vs. Bisping 2013-01-19
",1.0,1,1.0
2f95a3c6d58b2aad,Iuri-Alcantara-4878," Brian Kelleher UFC 212: Aldo vs. Holloway 2017-06-03
 Luke Sanders UFC 209: Woodley vs. Thompson 2 2017-03-04
"," Joe Soto UFC Fight Night 125: Machida vs. Anders 2018-02-03
 Jimmie Rivera UFC on FOX 18: Johnson vs. Bader 2016-01-30
 Leandro Issa UFC 190: Rousey vs. Correia 2015-08-01
 Frankie Saenz UFC Fight Night 61: Bigfoot vs. Mir 2015-02-22
 Russell Doane UFC Fight Night 51: Big Foot vs. Arlovski II 2014-09-13
"," Felipe Arantes UFC 134: Silva vs Okami 2011-08-27
 Michihiro Omigawa UFC 142: Aldo vs Mendes 2012-01-14
 Hacran Dias UFC 147: Silva vs Franklin 2 2012-06-23
 Pedro Nobre UFC on FX: Belfort vs Bisping 2013-01-19
 Iliarde Santos UFC on FX: Belfort vs. Rockhold 2013-05-18
 Wilson Reis UFC Fight Night: Machida vs Mousasi 2014-02-15
"," Cory Sandhagen UFC Fight Night 135: Gaethje vs. Vick 2018-08-25
 Alejandro Perez UFC Fight Night 123: Swanson vs. Ortega 2017-12-09
 Brad Pickett UFC 204: Bisping vs. Henderson 2 2016-10-08
 Vaughan Lee UFC Fight Night 41: Munoz vs. Mousasi 2014-05-31
",1.0,1,1.0
578ef12674df1e6a,Irene-Aldana-5093," Lucie Pudilova UFC 228: Woodley vs. Till 2018-09-08
",,," Talita Bernardo UFC Fight Night 124: Stephens vs. Choi 2018-01-14
 Katlyn Chookagian UFC 210: Cormier vs. Johnson 2 2017-04-08
 Leslie Smith UFC on FOX 22: VanZant vs. Waterson 2016-12-17
 Faith Van Duin Invicta FC 19: Maia vs. Modafferi 2016-09-23
 Jessamyn Duke Invicta FC 16: Hamasaki vs. Brown 2016-03-11
 Tonya Evinger Invicta FC 13: Cyborg vs. Van Duin 2015-07-09
 Colleen Schneider Invicta FC 11: Cyborg vs. Tweet 2015-02-27
 Peggy Morgan Invicta FC 8 2014-09-06
",1.0,1,1.0
d0f3959b4a9747e6,Jose-Aldo-659," Max Holloway UFC 212: Aldo vs. Holloway 2017-06-03
 Manny Gamburyan WEC 51: Aldo vs. Gamburyan 2010-09-30
 Urijah Faber WEC 48: Aldo vs. Faber 2010-04-24
"," Jeremy Stephens UFC on FOX 30: Alvarez vs. Poirier 2 2018-07-28
 Frankie Edgar UFC 200: Tate vs. Nunes 2016-07-09
 Conor McGregor UFC 194: Aldo vs. McGregor 2015-12-12
 Chad Mendes UFC 179: Aldo vs. Mendes II 2014-10-25
 Ricardo Lamas UFC 169: Barao vs. Faber 2014-02-01
 Chan Sung Jung UFC 163: Aldo vs. Jung 2013-08-03
 Frankie Edgar UFC 156: Aldo vs. Edgar 2013-02-02
 Chad Mendes UFC 142: Aldo vs. Mendes 2012-01-14
 Kenny Florian UFC 136: Edgar vs. Maynard 3 2011-10-08
 Mark Hominick UFC 129: St-Pierre vs. Shields 2011-04-30
 Mike Brown WEC 44: Brown vs Aldo 2009-11-18
 Cub Swanson WEC 41: Brown vs Faber 2 2009-06-07
 Chris Mickle WEC 39: Brown vs Garcia 2009-03-01
 Rolando Perez WEC 38: Varner vs Cerrone 2009-01-25
 Jonathan Brookins WEC 36: Faber vs Brown 2008-11-05
 Alexandre Nogueira WEC 34: Faber vs Pulver 2008-06-01
",," Renato Moicano UFC on ESPN+ 2: Assuncao vs. Moraes 2 2019-02-02
 Max Holloway UFC 218: Holloway vs. Aldo 2 2017-12-02
",1.0,1,0.99
6fd953151d981979,J-J-Aldrich-5098,," Chan-Mi Jeon UFC Fight Night 110: Lewis vs. Hunt 2017-06-10
",," Polyana Viana UFC 227: Dillashaw vs. Garbrandt 2 2018-08-04
 Danielle Taylor UFC Fight Night 124: Stephens vs. Choi 2018-01-14
 Juliana Lima UFC Fight Night 102: Lewis vs. Abdurakhimov 2016-12-09
 Lynn Alvarez Invicta FC 20: Evinger vs. Kunitskaya 2016-11-18
 Daniela Kortmann Invicta FC 14: Evinger vs. Kianzad 2015-09-12
 Jamie Moyle Invicta FC 11: Cyborg vs. Tweet 2015-02-27
 Delaney Owen Invicta FC 8 2014-09-06
",0.95,1,0.96
fe5a9547479396ab,Jim-Alers-3313,," Jason Knight UFC on FOX 20: Holm vs. Shevchenko 2016-07-23
",," Cole Miller UFC on FOX 17: Dos Anjos vs. Cerrone 2015-12-19
 Chas Skelly UFC Fight Night 60: Henderson vs. Thatch 2015-02-14
 Alan Omer UFC Fight Night 39: Minotauro vs. Nelson 2014-04-11
 Graham Turner Cage Warriors 63: Ray vs. Buchinger 2013-12-31
 Martin Svensson Cage Warriors 59: Alers vs. Svensson 2013-09-14
 Joni Salovaara Cage Warriors 53: Alers vs. Salovaara 2013-04-13
 Marcio Cesar Cage Warriors Fight Night 7 2012-09-01
 Matteus Lahdesmak Cage Warriors Fight Night 6: Grimaud vs. Taylor 2012-05-24
",1.0,1,1.0
7a15f3694c5cbc02,John-Alessio-202,," Shane Roller UFC 148: Silva vs. Sonnen 2 2012-07-07
",," David Rickels Bellator 139: Kongo vs. Volkov 2015-06-26
 Eric Wisely Bellator 119: Weichel vs. Green 2014-05-09
 Will Brooks Bellator Fighting Championship 101: Warren vs. Kirk 2013-09-27
 Mark Bocek UFC 145: Jones vs. Evans 2012-04-21
 Ryan Healy Score Fighting Series 4 2012-03-16
 Luiz Firmino Superior Cage Combat 3 2011-11-04
 Waachim Spiritwolf Superior Cage Combat 2 2011-08-20
 Phil Collins Tachi Palace Fights 7: Deck the Halls 2010-12-02
 War Machine Tachi Palace Fights 5 2010-07-09
 Luigi Fioravanti MFC 22: Payoff 2009-10-02
 Andrew Buckland MFC 21: Hard Knocks 2009-05-15
 Andre Galvao DREAM 8 2009-04-05
 Paul Daley MFC 19: Long Time Coming 2008-12-05
 Gideon Ray Superfights MMA: Night Of Combat 2 2008-10-11
 Pete Spratt Superfights MMA: Night Of Combat 1 2008-06-20
 Brock Larson WEC 33 2008-03-26
 Todd Moore WEC 31: Faber vs Curran 2007-12-12
 Marcelo Brito WEC 30 2007-09-05
",1.0,1,1.0
d53482bef23235ba,Marcio-Alexandre-Jr-5367,," Tim Means UFC Fight Night 58: Machida vs. Dollaway 2014-12-20
"," Warlley Alves TUF Brazil Finale: Miocic vs Maldonado 2014-05-31
"," Leonardo Silva Dana White's Contender Series Brazil 2 2018-08-31
 Court McGee UFC 194: Aldo vs. McGregor 2015-12-12
",0.91,1,1.0
4b37a0bc2ab4cae1,Pablo-Alfonso-1552,," Marcos Da Matta Strikeforce: Miami 2010-01-30
",," Bruce Lutchmedial Titan FC 38: Carl vs. Belal 2016-04-30
 Cody Bollinger WSOF 11: Gaethje vs. Newell 2014-07-05
 Miguel Torres World Series of Fighting 6: Burkman vs. Carl 2013-10-26
 Jason Goodall XFC 9: Evolution 2009-09-05
",1.0,1,1.0
040a74bb0a465c54,Arnold-Allen-4218,," Mads Burnell UFC Fight Night 130: Thompson vs. Till 2018-05-27
 Makwan Amirkhani UFC Fight Night 107: Manuwa vs. Anderson 2017-03-18
 Yaotzin Meza UFC Fight Night 84: Silva vs. Bisping 2016-02-27
",," Gilbert Melendez UFC 232 2018-12-29
 Alan Omer UFC Fight Night 69: Jedrzejczyk vs. Penne 2015-06-20
 Saief Toumy Cage Warriors 71: Hermansson vs. Topalski 2014-08-22
 Marcin Wrzosek Cage Warriors 69: Super Saturday 2014-06-07
 Tobias Huber Cage Warriors Fight Night 11 2014-04-18
 Doni Miller Cage Warriors 61: Brum vs. Pekov 2013-12-13
 Andy Green Cage Warriors 56: del Guerra vs. Omoyele 2013-07-06
",1.0,1,1.0
c4fe2e9a06ea5bcb,Ben-Alloway-3113,," Ryan Laflare UFC on Fuel TV 9: Mousasi vs. Latifi 2013-04-06
 Manuel Rodriguez UFC on FX 6: Sotiropoulos vs. Pearson 2012-12-14
",," Mohsen Bahari Cage Warriors 69: Super Saturday 2014-06-07
 Jack Mason Cage Warriors 65: Maguire vs. Rogers 2014-03-01
 Zak Cummings UFC Fight Night 27: Condit vs. Kampmann II 2013-08-28
 Mauro Chimento Cage Warriors Fight Night 3 2012-02-11
",0.92,1,1.0
91186547a7f3f758,Ricardo-Almeida-194," Kendall Grove UFC 101: Declaration 2009-08-08
 Rob Yundt UFC 81: Breaking Point 2008-02-02
"," Mike Pyle UFC 128: Shogun vs. Jones 2011-03-19
 Matt Brown UFC 111: St-Pierre vs. Hardy 2010-03-27
 Matt Horwich UFC Fight Night 18: Condit vs Kampmann 2009-04-01
",," T.J. Grant UFC 124: St-Pierre vs. Koscheck II 2010-12-11
 Matt Hughes UFC 117: Silva vs. Sonnen 2010-08-07
 Patrick Cote UFC 86: Jackson vs Griffin 2008-07-05
",1.0,1,1.0
2b074403b7c6cdb4,Thomas-Almeida-4574," Rob Font UFC 220: Miocic vs. Ngannou 2018-01-20
"," Albert Morales UFC Fight Night 100: Bader vs. Nogueira 2016-11-19
 Cody Garbrandt UFC Fight Night 88: Almeida vs. Garbrandt 2016-05-29
 Anthony Birchak UFC Fight Night 77: Belfort vs. Henderson 3 2015-11-07
 Tim Gorman UFC Fight Night 56: Shogun vs. St. Preux 2014-11-08
",," Jimmie Rivera UFC on FOX 25: Weidman vs. Gastelum 2017-07-22
 Brad Pickett UFC 189: Mendes vs. McGregor 2015-07-11
 Yves Jabouin UFC 186: Johnson vs. Horiguchi 2015-04-25
 Caio Machado Legacy FC 32: Almeida vs. Machado 2014-06-20
 George Pacurariu Legacy FC 26: Garcia vs. Aguilar 2013-12-06
",1.0,1,1.0
c61b49cec6abd6b9,Rico-Altamirano-1643,," Luke Riddering Strikeforce Challengers IV: Evangelista vs Gurgel 2009-11-06
",,,1.0,1,0.45
33a331684283900f,Eddie-Alvarez-91," Justin Gaethje UFC 218: Holloway vs. Aldo 2 2017-12-02
 Katsunori Kikuno DREAM 12 2009-10-25
"," Dustin Poirier UFC on FOX 30: Alvarez vs. Poirier 2 2018-07-28
 Dustin Poirier UFC 211: Miocic vs. Dos Santos 2 2017-05-13
 Conor McGregor UFC 205: Alvarez vs. McGregor 2016-11-12
 Tatsuya Kawajiri DREAM 5 2008-07-21
 Joachim Hansen DREAM 3 2008-05-11
 Andre Amade DREAM 1 2008-03-15
",," Rafael Dos Anjos UFC Fight Night 90: Dos Anjos vs. Alvarez 2016-07-07
 Anthony Pettis UFC Fight Night 81: Dillashaw vs. Cruz 2016-01-17
 Gilbert Melendez UFC 188: Velasquez vs. Werdum 2015-06-13
 Donald Cerrone UFC 178: Johnson vs. Cariaso 2014-09-27
 Michael Chandler Bellator Fighting Championship 106: Chandler vs. Alvarez II 2013-11-02
 Patricky Freire Bellator Fighting Championship 76 2012-10-12
 Shinya Aoki Bellator Fighting Championship 66 2012-04-20
 Michael Chandler Bellator Fighting Championship 58 2011-11-19
 Pat Curran Bellator Fighting Championship 39 2011-04-02
 Roger Huerta Bellator Fighting Championship 33 2010-10-21
 Josh Neer Bellator Fighting Championships 17 2010-05-06
 Toby Imada Bellator Fighting Championship 12 2009-06-19
 Eric Reynolds Bellator Fighting Championship 5 2009-05-01
 Greg Loughran Bellator Fighting Championship 1 2009-04-03
 Shinya Aoki FieLDS: Dynamite!! 2008 2008-12-31
 Ross Ebanez ShoXC: Elite Challenger Series 2008-01-25
 Matt Lee Bodog Fight 2007-07-14
",1.0,1,0.99
31ee470ef5dc8d7f,Thiago-Alves-118," Patrick Cote UFC 210: Cormier vs. Johnson 2 2017-04-08
 Josh Koscheck UFC 90: Silva vs Cote 2008-10-25
 Matt Hughes UFC 85: Bedlam 2008-06-07
"," Curtis Millender UFC Fight Night 126: Cerrone vs. Medeiros 2018-02-18
 Seth Baczynski UFC on FOX 11: Werdum vs. Browne 2014-04-19
 Martin Kampmann UFC on FX 2: Alves vs. Kampmann 2012-03-02
 Papy Abedi UFC 138: Leben vs. Munoz 2011-11-05
 Rick Story UFC 130: Rampage vs. Hamill 2011-05-28
 John Howard UFC 124: St-Pierre vs. Koscheck II 2010-12-11
 Karo Parisyan UFC Fight Night 13: Florian vs Lauzon 2008-04-02
",," Max Griffin UFC on ESPN+ 2: Assuncao vs. Moraes 2 2019-02-02
 Alexey Kunchenko UFC Fight Night 136: Hunt vs. Oleinik 2018-09-15
 Jim Miller UFC 205: Alvarez vs. McGregor 2016-11-12
 Carlos Condit UFC Fight Night 67: Alves vs. Condit 2015-05-30
 Jordan Mein UFC 183: Silva vs. Diaz 2015-01-31
 Jon Fitch UFC 117: Silva vs. Sonnen 2010-08-07
 Georges St-Pierre UFC 100 2009-07-11
 Chris Lytle UFC 78: Validation 2007-11-17
 Kuniyoshi Hironaka UFC Fight Night 11: Thomas vs Florian 2007-09-19
",1.0,1,1.0
d317a5e2b3f88c5f,Warlley-Alves-4924," Sultan Aliev UFC 224: Nunes vs. Pennington 2018-05-12
"," Kamaru Usman UFC Fight Night 100: Bader vs. Nogueira 2016-11-19
 Bryan Barberena UFC 198: Werdum vs. Miocic 2016-05-14
 Colby Covington UFC 194: Aldo vs. McGregor 2015-12-12
 Nordine Taleb UFC 190: Rousey vs. Correia 2015-08-01
 Alan Jouban UFC Fight Night 56: Shogun vs. St. Preux 2014-11-08
",," James Krause UFC Fight Night 135: Gaethje vs. Vick 2018-08-25
 Salim Touahri UFC Fight Night 118: Cerrone vs. Till 2017-10-21
 Marcio Alexandre Junior UFC: The Ultimate Fighter Brazil 3 Finale 2014-05-31
",1.0,1,1.0
